lyric,artist
"And, in the end, the love you take is equal to the love you make.","The Beatles, ""The End"""
"Maybe there's a God above, but all I've ever learned from love was how to shoot somebody who outdrew ya. And it's not a cry that you hear at night. It's not somebody who's seen the light. It's a cold and it's a broken Hallelujah.","Leonard Cohen (verse sung by Jeff Buckley), ""Hallelujah"""
"Let me tell you what I wish I'd known when I was young and dreamed of glory: You have no control who lives, who dies who tells your story.","Hamilton, ""Who Lives, Who Dies, Who Tells Your Story"""
"And you could have it all. My empire of dirt. I will let you down. I will make you hurt. If I could start again, a million miles away, I would keep myself. I would find a way.","Nine Inch Nails, ""Hurt"""
"Don’t worry where we end up. Ending-up’s not real. The life we build, we never stop creating","Jimmy Eat World, ""Delivery"""
Our coming of age has come and gone.,"Taylor Swift, ""peace"""
"So, I never fell for Vietnam. We got the wall of D.C. to remind us all that you can't trust freedom when it's not in your hands. When everybody's fighting for their promised land.","Guns N' Roses, ""Civil War"""
"I wrapped my arms around the moment like I'm clutching a memory; You, alive in your madness, in love with the night.","The Wonder Years, ""The Bluest Things On Earth"""
"But you know that when the truth is told, that you can get what you want, or you can just get old.","Billy Joel, ""Vienna"""
"Idealism sits in prison, chivalry fell on its sword. Innocence died screaming, honey, ask me, I should know.","Hozier, ""From Eden"""
"And there will come a time, you'll see, with no more tears and love will not break your heart, but dismiss your fears. Get over your hill and see what you find there, with grace in your heart and flowers in your hair.","Mumford & Sons, ""After The Storm"""
"So much of me is made of what I learned from you. You'll be with me, like a handprint on my heart.","Wicked, ""For Good"""
"My soul is painted like the wings of butterflies. Fairytales of yesterday grow, but never die. I can fly, my friends.","Queen, ""The Show Must Go On"""
You can think that you're in love when you're really just in pain.,"Ashe, ""Moral of the Story"""
"And, if you listen very hard, the tune will come to you at last. When all are one and one is all, to be a rock and not to roll. And she's buying a stairway to Heaven.","Led Zeppelin, ""Stairway to Heaven"""
Did you see the frightened ones? Did you hear the falling bombs? Did you ever wonder why we had to run for shelter when the promise of a brave new world unfurled beneath a clear blue sky?,"Pink Floyd, ""Goodbye Blue Sky"""
"What's the problem with the world today? The land of the free, somebody lied.","Prince, ""Call My Name"""
"If I had a box just for wishes and dreams that had never come true, the box would be empty, except for the memory of how they were answered by you.","Jim Croce, ""Time in a Bottle"""
The storms are raging on the rolling sea and on the highway of regret. The winds of change are blowing wild and free. You ain't seen nothing like me yet.,"Bob Dylan, ""To Make You Feel My Love"""
"Sounds of laughter, shades of life are ringing through my open ears, inciting and inviting me. Limitless, undying love, which shines around me like a million suns. It calls me on and on, across the universe.","The Beatles, ""Across The Universe"""
"Just as time knew to move on since the beginning, and the seasons know exactly when to change. Just as kindness knows no shame, know through all your joy and pain, that I'll be loving you always.","Stevie Wonder, ""As"""
"I see friends shaking hands, saying, 'How do you do.' They're really saying, 'I love you.'","Louis Armstrong, ""What a Wonderful World"""
"It's been a long dark night, and I've been a waitin' for the morning. It's been a long hard fight, but I see a brand new day a dawning.","Dolly Parton, ""Light of a Clear Blue Morning"""
"Somebody crowd me with love. Somebody force me to care. Somebody let me come through. I'll always be there, as frightened as you, to help us survive being alive.","Company, ""Being Alive"""
"We're just two lost souls swimming in a fish bowl. Year after year, running over the same old ground. What have we found?","Pink Floyd, ""Wish You Were Here"""
"Did you ever know that you're my hero? You're everything I wish I could be. I could fly higher than an eagle, for you are the wind beneath my wings.","Bette Midler, ""Wind Beneath My Wings"""
"Many times I've been alone, and many times I've cried. Anyway, you'll never know the many ways I've tried. And still they lead me back to the long, winding road.","The Beatles, ""The Long and Winding Road"""
"If you really want to free me, tell my mummy that she’s pretty. Melanin is not your enemy.","Joy Crookes, ""Power"""
"He says, 'Son, can you play me a memory? I'm not really sure how it goes. But it's sad and it's sweet and I knew it complete when I wore a younger man's clothes.'","Billy Joel, ""Piano Man"""
"Hey, you call me up again just to break me like a promise. So casually cruel in the name of being honest.","Taylor Swift, ""All Too Well"""
"You can't always get what you want. But, if you try sometime, you find you get what you need.","The Rolling Stones, ""You Can't Always Get What You Want"""
"You fill up my senses like a night in a forest, like the mountains in springtime, like a walk in the rain, like a storm in the desert, like a sleepy blue ocean. You fill up my senses. Come fill me again.","John Denver, ""Annie's Song (You Fill Up My Senses)"""
"So I close my eyes softly, 'til I become that part of the wind that we all long for sometime, yeah. And to those that I love, like a ghost through a fog, like a charmed hour, and a haunted song, and the angel of my dreams.","Stevie Nicks, ""Angel"""
"Look at the way we live. I wasn't hidin' my kid from the world, I was hidin' the world from my kid. From empty souls who just wake up and look to debate. Until you starin' at your seed, you can never relate.","Drake, ""Emotionless"""
"Onward to the eastern skies, with bluing effort kiss the seas. I sigh in place for those blue eyes that have hope and love for me. For they obey, have stolen away, that heart that truly once was mine. Like some lone bird without a mate, my weary heart is desolate.","The Carter Family, ""I Never Loved But One"""
I am the one thing in life I can control. I am inimitable; I am an original. I’m not falling behind or running late. I’m not standing still: I am lying in wait.,"Hamilton, ""Wait for It"""
"They told me all of my cages were mental, so I got wasted like all my potential.","Taylor Swift, ""this is me trying"""
